Timestamp,What is the name of your company?,Does your company have specific language requirements for this position? [English],Does your company have specific language requirements for this position? [Spanish],Does your company have specific language requirements for this position? [Portuguese],Does your company have specific language requirements for this position? [French],Does your company have specific language requirements for this position? [Dutch],Does your company have specific language requirements for this position? [Catalan],Where will this position be located?,"Regarding remote working, how many days a week could the employee work off site?","On a scale from 1 to 10, how much time will the employee be spending working on back end and front end?","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Java]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [C# / ASP.net]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Python]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [PHP]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [SQL]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Angular (Typescript generation)]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Vue]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Firebase]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [AWS]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Docker / Kubernetes]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Design Tools (Photoshop, Illustrator...)]","From this list, please rank these 3 soft skills in order of importance for this position [Motivation and ability to overcome problems: employee has a passionate, can-do attitude and proactively looks for solutions to every problem they encounter]","From this list, please rank these 3 soft skills in order of importance for this position [Coachability: Employee is receptive and actively listens and acts on feedback received]","From this list, please rank these 3 soft skills in order of importance for this position [Teamwork: Employee is able to receive and provide value in a team environment]"
3/28/2019 17:28:22,Movetia,No need,Can work in full capacity in this language,No need,No need,No need,Must be able to read basic documentation,In the country where the campus is located,100% office-based job. We're not keen on remote working.,5,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,3,2,1
4/1/2019 17:39:20,Volcanic Internet,Can work in full capacity in this language,Can work in full capacity in this language,No need,No need,No need,Must be able to read documentation and have an informal conversation,In the country where the campus is located,3+ Days. It's up to the employee,4,Nice to have: They should have a basic knowledge,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,2,3
4/3/2019 20:28:27,Farmaconnect,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,No need,No need,No need,Can work in full capacity in this language,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,3,2
4/4/2019 10:08:53,C14TORCE,Can work in full capacity in this language,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,3,2
4/8/2019 12:26:08,Norwegian,Can work in full capacity in this language,No need,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,1,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,No Need,1,3,2
4/10/2019 10:24:38,Bit Genoma Digital Solutions,Must be able to read basic documentation,Must be able to read basic documentation,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,2,3
4/10/2019 11:38:11,Atomian,Must be able to read documentation and communicate in a meeting,Must be able to read documentation and communicate in a meeting,No need,No need,No need,Must be able to read documentation and communicate in a meeting,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,Nice to have: They should have a basic knowledge,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,3,1,2
4/10/2019 13:35:40,Project Lobster,Must be able to read documentation and have an informal conversation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,3,1,2
,Optimissa Capital Markets,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,Must be able to read documentation and communicate in a meeting,Must be able to read documentation and have an informal conversation,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,In the country where the campus is located,1-2 Days a week,10,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,1,3,2
,Wisestate LTD,Can work in full capacity in this language,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,3+ Days. It's up to the employee,2,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,1,2,3
,Adidea,Can work in full capacity in this language,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,3,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,3,2
,BOEHRINGER INGELHEIM ESPAÑA,Can work in full capacity in this language,Must be able to read documentation and have an informal conversation,No need,No need,No need,No need,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,1,3,2
,TALNTD,Can work in full capacity in this language,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,9,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,1,2,3
,Ondho,Must be able to read basic documentation,Can work in full capacity in this language,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,9,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,1,3,2
,Abalit Technologies S.L.,Must be able to read documentation and have an informal conversation,Can work in full capacity in this language,No need,No need,No need,Must be able to read documentation and communicate in a meeting,In the city where the campus is located,100% office-based job. We're not keen on remote working.,8,Must have: Must be able to work with the technology on a regular basis,No Need,No Need,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,1,2,3
,Amaris,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,No need,No need,No need,No need,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,1,3,2
