What is the name of your company?,Does your company have specific language requirements for this position? [English],Does your company have specific language requirements for this position? [Spanish],Does your company have specific language requirements for this position? [Portuguese],Does your company have specific language requirements for this position? [French],Does your company have specific language requirements for this position? [Dutch],Does your company have specific language requirements for this position? [Catalan],Where will this position be located?,"Regarding remote working, how many days a week could the employee work off site?","On a scale from 1 to 10, how much time will the employee be spending working on back end and front end?",Mark the top 3 competencies you are looking for in an employee for this position,"From this list, please rank these 3 soft skills in order of importance for this position [Motivation and ability to overcome problems: employee has a passionate, can-do attitude and proactively looks for solutions to every problem they encounter]","From this list, please rank these 3 soft skills in order of importance for this position [Coachability: Employee is receptive and actively listens and acts on feedback received]","From this list, please rank these 3 soft skills in order of importance for this position [Teamwork: Employee is able to receive and provide value in a team environment]",
Sopra Steria,Must be able to read basic documentation,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting, Can work in full capacity in this language",,,,,In the city where the campus is located,1-2 Days a week,5,"User research, Methodologies: Desing thinking, Google Sprint,..., Interaction design, Visual design",3,2,1,
vt-lab,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation",Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,"User research, Usability Testing, Visual design",1,3,2,
Barrabes,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting, Can work in full capacity in this language","Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting, Can work in full capacity in this language",,,,,In the city where the campus is located,1-2 Days a week,5,"Usability Testing, Interaction design, Visual design",1,3,2,
Sentisis,,Must be able to read basic documentation,,,,,In the city where the campus is located,1-2 Days a week,4,"User research, Usability Testing, Interaction design",2,3,1,
Habitant,Must be able to read documentation and communicate in a meeting,Must be able to read documentation and communicate in a meeting,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,In the city where the campus is located,1-2 Days a week,4,"Information architecture, Interaction design, Visual design",1,3,2,
Minsait,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,In the city where the campus is located,1-2 Days a week,7,"Visual design, HTML & CSS Basic Understanding, Motion Design",1,3,2,
Syntonize,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting","Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting, Can work in full capacity in this language",Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,"Methodologies: Desing thinking, Google Sprint,..., Information architecture, Visual design",3,2,1,
UXSmobile,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,In the city where the campus is located,1-2 Days a week,2,"User research, Methodologies: Desing thinking, Google Sprint,..., Usability Testing",3,2,1,
Bravent ,Can work in full capacity in this language,Can work in full capacity in this language,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,In the city where the campus is located,1-2 Days a week,5,"Methodologies: Desing thinking, Google Sprint,..., Interaction design, Visual design",1,2,3,
Making Science,Must be able to read documentation and have an informal conversation,Can work in full capacity in this language,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,In the city where the campus is located,1-2 Days a week,7,"Information architecture, Interaction design, Visual design",1,3,2,
Fontown,Fontown,"Must be able to read basic documentation, Must be able to read documentation and communicate in a meeting","Must be able to read documentation and have an informal conversation, Can work in full capacity in this language",Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Anywhere in the world,100% remote-based job. No physical office.,3,"Usability Testing, Interaction design, Visual design",1,3,2
Crepes and Texas (Making Science),Making Science,Must be able to read documentation and have an informal conversation,Can work in full capacity in this language,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,Must be able to read basic documentation,In the city where the campus is located,1-2 Days a week,7,"Information architecture, Interaction design, Visual design",1,3,2
Garaje de Ideas,Must be able to read basic documentation,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting, Can work in full capacity in this language",,,,,In the city where the campus is located,1-2 Days a week,5,"User research, Methodologies: Desing thinking, Google Sprint,..., Interaction design, Visual design",3,2,1,
Chiara,,,,,,,,,,,,,,
EPSNWORKFORCE,,,,,,,,,,,,,,
F. Iniciativas,,,,,,,,,,,,,,
