What is the name of your company?,Does your company have specific language requirements for this position? [English],What is your level in the following languages? [Spanish],What is your level in the following languages? [Portuguese],What is your level in the following languages? [French],What is your level in the following languages? [Dutch],What is your level in the following languages? [Catalan],Where will this position be located?,"Regarding remote working, how many days a week could the employee work off site?","On a scale from 1 to 10, how much time will the employee be spending working on back end and front end?",Mark the top 3 competencies you are looking for in an employee for this position [User research],"Mark the top 3 competencies you are looking for in an employee for this position [Methodologies: Desing thinking, Google Sprint,...]",Mark the top 3 competencies you are looking for in an employee for this positione [Usability Testing],Mark the top 3 competencies you are looking for in an employee for this position [Information Architecture ],Mark the top 3 competencies you are looking for in an employee for this position [Interaction Design ],Mark the top 3 competencies you are looking for in an employee for this position [Visual Design ],Mark the top 3 competencies you are looking for in an employee for this position [HTML & CSS Basic Understanding],Mark the top 3 competencies you think you have [Motion design],"From this list, please rank these 3 soft skills in order of importance for this position [Motivation and ability to overcome problems: employee has a passionate, can-do attitude and proactively looks for solutions to every problem they encounter]","From this list, please rank these 3 soft skills in order of importance for this position [Coachability: Employee is receptive and actively listens and acts on feedback received]","From this list, please rank these 3 soft skills in order of importance for this position [Teamwork: Employee is able to receive and provide value in a team environment]"
Sopra Steria,Must be able to read basic documentation,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,,,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,3,2,1
vt-lab,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation",Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,,Must have: Must be able to work with the technology on a regular basis,,,Must have: Must be able to work with the technology on a regular basis,,,1,3,2
Barrabes,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting, Can work in full capacity in this language",Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,,,Must have: Must be able to work with the technology on a regular basis,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,1,3,2
Sentisis,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting, Can work in full capacity in this language",Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,4,Must have: Must be able to work with the technology on a regular basis,,Must have: Must be able to work with the technology on a regular basis,,Must have: Must be able to work with the technology on a regular basis,,,,2,3,1
Habitant,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,4,,,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,1,3,2
Minsait,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,7,,,,,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,1,3,2
Syntonize,"Must be able to read basic documentation, Must be able to read documentation and have an informal conversation, Must be able to read documentation and communicate in a meeting",Can work in full capacity in this language,,,,,In the city where the campus is located,100% office-based job. We're not keen on remote working.,5,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,,,3,2,1
UXSmobile,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,2,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,,,3,2,1
Bravent ,Can work in full capacity in this language,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,,Must have: Must be able to work with the technology on a regular basis,,,,,,,1,2,3
Fontown,"Must be able to read basic documentation, Must be able to read documentation and communicate in a meeting",Can work in full capacity in this language,,,,,Anywhere in the world,100% remote-based job. No physical office.,7,,,Must have: Must be able to work with the technology on a regular basis,,,,,,2,1,3
Crepes and Texas (Making Science),Making Science,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,7,,,,Must have: Must be able to work with the technology on a regular basis,,,,,2,1,3
Garaje de Ideas,Must be able to read basic documentation,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,,,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,3,2,1
Chiara,Must be able to read basic documentation,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,,,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,2,1,3
EPSNWORKFORCE,Must be able to read basic documentation,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,,,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,1,3,2
F. Iniciativas,Must be able to read basic documentation,Can work in full capacity in this language,,,,,In the city where the campus is located,1-2 Days a week,5,Must have: Must be able to work with the technology on a regular basis,,,,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,,,2,1,3
