alumnos,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10
alumno1,0,1,2,3,4,5,6,7,8,9
alumno2,1,2,3,4,5,6,7,8,9,10
alumno3,2,3,4,5,6,7,8,9,10,11
alumno4,3,4,5,6,7,8,9,10,11,12
alumno5,4,5,6,7,8,9,10,11,12,13
alumno6,5,6,7,8,9,10,11,12,13,14
alumno7,6,7,8,9,10,11,12,13,14,15
alumno8,7,8,9,10,11,12,13,14,15,16
alumno9,8,9,10,11,12,13,14,15,16,17
alumno10,9,10,11,12,13,14,15,16,17,18
alumno11,10,11,12,13,14,15,16,17,18,19
alumno12,11,12,13,14,15,16,17,18,19,20
alumno13,12,13,14,15,16,17,18,19,20,21
alumno14,13,14,15,16,17,18,19,20,21,22
