empresas,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10
empresa1,0,1,2,3,4,5,6,7,8,9
empresa2,1,2,3,4,5,6,7,8,9,10
empresa3,2,3,4,5,6,7,8,9,10,11
empresa4,3,4,5,6,7,8,9,10,11,12
empresa5,4,5,6,7,8,9,10,11,12,13
empresa6,5,6,7,8,9,10,11,12,13,14
empresa7,6,7,8,9,10,11,12,13,14,15
empresa8,7,8,9,10,11,12,13,14,15,16
empresa9,8,9,10,11,12,13,14,15,16,17
empresa10,9,10,11,12,13,14,15,16,17,18
empresa11,10,11,12,13,14,15,16,17,18,19
empresa12,11,12,13,14,15,16,17,18,19,20
empresa13,12,13,14,15,16,17,18,19,20,21
empresa14,13,14,15,16,17,18,19,20,21,22
