Timestamp,What is the name of your company?,Does your company have specific language requirements for this position? [English],Does your company have specific language requirements for this position? [Spanish],Does your company have specific language requirements for this position? [Portuguese],Does your company have specific language requirements for this position? [French],Does your company have specific language requirements for this position? [Dutch],Does your company have specific language requirements for this position? [Catalan],Where will this position be located?,"Regarding remote working, how many days a week could the employee work off site?","On a scale from 1 to 10, how much time will the employee be spending working on back end and front end?","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Java]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [C# / ASP.net]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Python]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [PHP]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [SQL]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Angular (Typescript generation)]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Vue]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Firebase]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [AWS]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Docker / Kubernetes]","Aside from the ones covered in our curriculum (MERN Stack), are there additional specific hard-skills you would value in an employee? [Design Tools (Photoshop, Illustrator...)]","From this list, please rank these 3 soft skills in order of importance for this position [Motivation and ability to overcome problems: employee has a passionate, can-do attitude and proactively looks for solutions to every problem they encounter]","From this list, please rank these 3 soft skills in order of importance for this position [Coachability: Employee is receptive and actively listens and acts on feedback received]","From this list, please rank these 3 soft skills in order of importance for this position [Teamwork: Employee is able to receive and provide value in a team environment]"
6/5/2019 11:01:38,Fake 001,No need,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,In the city where the campus is located,100% office-based job. We're not keen on remote working.,1,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,1,2,3
6/5/2019 11:02:09,Fake 002,No need,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,In the country where the campus is located,1-2 Days a week,10,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,No Need,2,3,1
6/5/2019 11:02:40,Fake 003,No need,No need,No need,No need,No need,No need,In a city in another country,3+ Days. It's up to the employee,7,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,3,2,1
6/5/2019 11:03:11,Fake 004,Must be able to read documentation and have an informal conversation,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read basic documentation,In the city where the campus is located,100% remote-based job. No physical office.,10,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,2,1,3
6/5/2019 11:03:42,Fake 005,No need,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,In the city where the campus is located,100% office-based job. We're not keen on remote working.,1,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,1,2,3
6/5/2019 11:04:13,Fake 006,No need,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,In the country where the campus is located,1-2 Days a week,10,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,No Need,2,3,1
6/5/2019 11:04:44,Fake 007,No need,No need,No need,No need,No need,No need,In a city in another country,3+ Days. It's up to the employee,7,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,3,2,1
6/5/2019 11:05:15,Fake 008,Must be able to read documentation and have an informal conversation,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read basic documentation,In the city where the campus is located,100% remote-based job. No physical office.,10,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,2,1,3
6/5/2019 11:05:46,Fake 009,No need,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,In the city where the campus is located,100% office-based job. We're not keen on remote working.,1,No Need,No Need,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,Nice to have: They should have a basic knowledge,No Need,1,2,3
6/5/2019 11:06:17,Fake 010,No need,Must be able to read basic documentation,Must be able to read documentation and have an informal conversation,Must be able to read documentation and communicate in a meeting,Must be able to read documentation and communicate in a meeting,Can work in full capacity in this language,In the country where the campus is located,1-2 Days a week,10,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Must have: Must be able to work with the technology on a regular basis,Nice to have: They should have a basic knowledge,No Need,No Need,No Need,No Need,No Need,2,3,1
