name,english,spanish,portuguese,french,dutch,catalan,location,offsite,position,java,caspnet,python,php,sql,angular,vue,firebase,aws,dockerkubernetes,design,motivation,coachability,teamwork
Movetia,1,5,1,1,1,2,2,1,5,3,2,2,2,3,2,3,3,2,2,3,3,2,1
Exoticca,4,4,1,1,1,1,1,2,6,3,2,2,3,2,2,2,2,2,2,2,1,3,2
The Hotels Network,4,4,1,1,1,1,1,2,5,1,1,2,3,2,1,2,1,2,2,2,2,3,1
Volcanic Internet,5,5,1,1,1,3,2,3,4,2,1,1,3,3,2,2,2,1,2,2,1,2,3
CAPITOLE CONSULTING,5,5,1,1,1,4,2,1,8,2,3,2,2,3,3,3,2,2,2,3,1,3,2
Farmaconnect,4,5,1,1,1,5,1,2,5,3,2,2,3,3,1,1,1,1,2,2,1,3,2
C14TORCE,5,5,1,1,1,1,1,1,5,1,1,1,2,2,2,2,1,2,2,2,1,3,2
AKKA,5,5,1,1,1,1,1,1,10,2,1,1,1,1,1,1,1,1,1,1,3,1,2
Bit Genoma Digital Solutions SL,3,3,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,2,1,1,2,3
Norwegian,5,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,1,1,3,1,1,3,2
Bluekik,2,3,1,1,1,1,1,2,7,2,2,2,3,3,2,2,2,2,2,2,1,3,2
InboundCycle,2,5,1,1,1,1,1,2,8,1,1,1,2,2,1,1,1,1,1,1,1,2,3
Bit Genoma Digital Solutions,2,2,1,1,1,1,1,1,5,1,1,1,2,2,3,1,1,2,2,2,1,2,3
ONEBOX,4,5,1,1,1,5,1,2,10,3,1,1,1,1,3,1,1,1,3,1,3,2,1
Atomian,4,4,1,1,1,4,1,1,5,2,1,1,3,3,2,1,1,1,1,2,3,1,2
SEAT,5,2,1,1,1,1,2,1,5,2,2,2,2,2,2,2,2,2,2,2,2,3,1
Project Lobster,3,5,1,1,1,1,1,1,5,1,1,1,2,2,1,2,1,1,1,2,3,1,2
Visyon (Estudio Bay SL),1,1,1,1,1,1,1,1,5,1,1,1,3,3,2,2,2,2,2,2,1,3,2
